iter	Passed	Remaining
914	3038	282
915	3041	278
916	3044	275
917	3048	272
918	3051	268
919	3055	265
920	3058	262
921	3062	259
922	3065	255
923	3068	252
924	3071	249
925	3075	245
926	3078	242
927	3082	239
928	3085	235
929	3088	232
930	3092	229
931	3095	225
932	3098	222
933	3101	219
934	3104	215
935	3108	212
936	3111	209
937	3114	205
938	3117	202
939	3120	199
940	3123	195
941	3126	192
942	3130	189
943	3133	185
944	3136	182
945	3139	179
946	3142	175
947	3146	172
948	3149	169
949	3153	165
950	3157	162
951	3160	159
952	3163	156
953	3167	152
954	3170	149
955	3173	146
956	3176	142
957	3179	139
958	3183	136
959	3186	132
960	3190	129
961	3193	126
962	3196	122
963	3200	119
964	3204	116
965	3207	112
966	3210	109
967	3213	106
968	3217	102
969	3220	99
970	3223	96
971	3226	92
972	3229	89
973	3233	86
974	3236	82
975	3239	79
976	3242	76
977	3246	73
978	3250	69
979	3254	66
980	3257	63
981	3260	59
982	3263	56
983	3266	53
984	3269	49
985	3272	46
986	3275	43
987	3278	39
988	3282	36
989	3285	33
990	3288	29
991	3291	26
992	3294	23
993	3298	19
994	3301	16
995	3304	13
996	3307	9
997	3310	6
998	3313	3
999	3317	0
